0 verbose cli /opt/homebrew/Cellar/node/25.6.0/bin/node /opt/homebrew/bin/npm
35 silly packumentCache corgi:https://registry.npmjs.org/whatwg-fetch cache-miss
36 silly packumentCache corgi:https://registry.npmjs.org/whatwg-encoding cache-miss
37 silly packumentCache corgi:https://registry.npmjs.org/wcwidth cache-miss
38 silly packumentCache corgi:https://registry.npmjs.org/webidl-conversions cache-miss
39 silly packumentCache corgi:https://registry.npmjs.org/whatwg-mimetype cache-miss
40 silly packumentCache corgi:https://registry.npmjs.org/vlq cache-miss
41 silly packumentCache corgi:https://registry.npmjs.org/w3c-xmlserializer cache-miss
42 silly packumentCache corgi:https://registry.npmjs.org/walker cache-miss
43 silly packumentCache corgi:https://registry.npmjs.org/validate-npm-package-name cache-miss
44 silly packumentCache corgi:https://registry.npmjs.org/vary cache-miss
45 silly packumentCache corgi:https://registry.npmjs.org/v8-to-istanbul cache-miss
46 silly packumentCache corgi:https://registry.npmjs.org/unrs-resolver cache-miss
47 silly packumentCache corgi:https://registry.npmjs.org/url-parse cache-miss
48 silly packumentCache corgi:https://registry.npmjs.org/yargs cache-miss
49 silly packumentCache corgi:https://registry.npmjs.org/update-browserslist-db cache-miss
50 silly packumentCache corgi:https://registry.npmjs.org/utils-merge cache-miss
51 silly packumentCache corgi:https://registry.npmjs.org/unicode-property-aliases-ecmascript cache-miss
52 silly packumentCache corgi:https://registry.npmjs.org/unique-string cache-miss
53 silly packumentCache corgi:https://registry.npmjs.org/unpipe cache-miss
54 silly packumentCache corgi:https://registry.npmjs.org/undici-types cache-miss
55 silly packumentCache corgi:https://registry.npmjs.org/unicode-canonical-property-names-ecmascript cache-miss
56 silly packumentCache corgi:https://registry.npmjs.org/unicode-match-property-ecmascript cache-miss
57 silly packumentCache corgi:https://registry.npmjs.org/undici cache-miss
58 silly packumentCache corgi:https://registry.npmjs.org/uglify-js cache-miss
59 silly packumentCache corgi:https://registry.npmjs.org/ua-parser-js cache-miss
60 silly packumentCache corgi:https://registry.npmjs.org/type-fest cache-miss
61 silly packumentCache corgi:https://registry.npmjs.org/typescript cache-miss
62 silly packumentCache corgi:https://registry.npmjs.org/type-detect cache-miss
63 silly packumentCache corgi:https://registry.npmjs.org/ts-jest cache-miss
64 silly packumentCache corgi:https://registry.npmjs.org/ts-interface-checker cache-miss
65 silly packumentCache corgi:https://registry.npmjs.org/tr46 cache-miss
66 silly packumentCache corgi:https://registry.npmjs.org/to-regex-range cache-miss
67 silly packumentCache corgi:https://registry.npmjs.org/tough-cookie cache-miss
68 silly packumentCache corgi:https://registry.npmjs.org/toidentifier cache-miss
69 silly packumentCache corgi:https://registry.npmjs.org/tinyglobby cache-miss
70 silly packumentCache corgi:https://registry.npmjs.org/throat cache-miss
71 silly packumentCache corgi:https://registry.npmjs.org/tmpl cache-miss
72 silly packumentCache corgi:https://registry.npmjs.org/thenify-all cache-miss
73 silly packumentCache corgi:https://registry.npmjs.org/thenify cache-miss
74 silly packumentCache corgi:https://registry.npmjs.org/test-exclude cache-miss
75 silly packumentCache corgi:https://registry.npmjs.org/terser cache-miss
76 silly packumentCache corgi:https://registry.npmjs.org/terminal-link cache-miss
77 silly packumentCache corgi:https://registry.npmjs.org/temp-dir cache-miss
78 silly packumentCache corgi:https://registry.npmjs.org/synckit cache-miss
79 silly packumentCache corgi:https://registry.npmjs.org/symbol-tree cache-miss
80 silly packumentCache corgi:https://registry.npmjs.org/supports-preserve-symlinks-flag cache-miss
81 silly packumentCache corgi:https://registry.npmjs.org/supports-color cache-miss
82 silly packumentCache corgi:https://registry.npmjs.org/supports-hyperlinks cache-miss
83 silly packumentCache corgi:https://registry.npmjs.org/sucrase cache-miss
84 silly packumentCache corgi:https://registry.npmjs.org/styleq cache-miss
85 silly packumentCache corgi:https://registry.npmjs.org/structured-headers cache-miss
86 silly packumentCache corgi:https://registry.npmjs.org/strip-json-comments cache-miss
87 silly packumentCache corgi:https://registry.npmjs.org/strip-indent cache-miss
88 silly packumentCache corgi:https://registry.npmjs.org/strip-final-newline cache-miss
89 silly packumentCache corgi:https://registry.npmjs.org/unicode-match-property-value-ecmascript cache-miss
90 silly packumentCache corgi:https://registry.npmjs.org/tar cache-miss
91 silly packumentCache corgi:https://registry.npmjs.org/strip-bom cache-miss
92 silly packumentCache corgi:https://registry.npmjs.org/string-width cache-miss
93 silly packumentCache corgi:https://registry.npmjs.org/strip-ansi cache-miss
94 silly packumentCache corgi:https://registry.npmjs.org/string-length cache-miss
95 silly packumentCache corgi:https://registry.npmjs.org/strip-ansi cache-miss
96 silly packumentCache corgi:https://registry.npmjs.org/stream-buffers cache-miss
97 silly packumentCache corgi:https://registry.npmjs.org/stacktrace-parser cache-miss
98 silly packumentCache corgi:https://registry.npmjs.org/statuses cache-miss
99 silly packumentCache corgi:https://registry.npmjs.org/stacktrace-js cache-miss
100 silly packumentCache corgi:https://registry.npmjs.org/stackframe cache-miss
101 silly packumentCache corgi:https://registry.npmjs.org/stack-utils cache-miss
102 silly packumentCache corgi:https://registry.npmjs.org/stack-generator cache-miss
103 silly packumentCache corgi:https://registry.npmjs.org/sprintf-js cache-miss
104 silly packumentCache corgi:https://registry.npmjs.org/source-map-js cache-miss
105 silly packumentCache corgi:https://registry.npmjs.org/string-width cache-miss
106 silly packumentCache corgi:https://registry.npmjs.org/source-map cache-miss
107 silly packumentCache corgi:https://registry.npmjs.org/slash cache-miss
108 silly packumentCache corgi:https://registry.npmjs.org/stacktrace-gps cache-miss
109 silly packumentCache corgi:https://registry.npmjs.org/slugify cache-miss
110 silly packumentCache corgi:https://registry.npmjs.org/simple-plist cache-miss
111 silly packumentCache corgi:https://registry.npmjs.org/sisteransi cache-miss
112 silly packumentCache corgi:https://registry.npmjs.org/signal-exit cache-miss
113 silly packumentCache corgi:https://registry.npmjs.org/source-map-support cache-miss
114 silly packumentCache corgi:https://registry.npmjs.org/shell-quote cache-miss
115 silly packumentCache corgi:https://registry.npmjs.org/shebang-regex cache-miss
116 silly packumentCache corgi:https://registry.npmjs.org/shebang-command cache-miss
117 silly packumentCache corgi:https://registry.npmjs.org/server-only cache-miss
118 silly packumentCache corgi:https://registry.npmjs.org/serve-static cache-miss
119 silly packumentCache corgi:https://registry.npmjs.org/serialize-error cache-miss
120 silly packumentCache corgi:https://registry.npmjs.org/send cache-miss
121 silly packumentCache corgi:https://registry.npmjs.org/setprototypeof cache-miss
122 silly packumentCache corgi:https://registry.npmjs.org/semver cache-miss
123 silly packumentCache corgi:https://registry.npmjs.org/setimmediate cache-miss
124 silly packumentCache corgi:https://registry.npmjs.org/saxes cache-miss
125 silly packumentCache corgi:https://registry.npmjs.org/scheduler cache-miss
126 silly packumentCache corgi:https://registry.npmjs.org/sax cache-miss
127 silly packumentCache corgi:https://registry.npmjs.org/safer-buffer cache-miss
128 silly packumentCache corgi:https://registry.npmjs.org/safe-buffer cache-miss
129 silly packumentCache corgi:https://registry.npmjs.org/restore-cursor cache-miss
130 silly packumentCache corgi:https://registry.npmjs.org/resolve.exports cache-miss
131 silly packumentCache corgi:https://registry.npmjs.org/resolve-workspace-root cache-miss
132 silly packumentCache corgi:https://registry.npmjs.org/resolve-global cache-miss
133 silly packumentCache corgi:https://registry.npmjs.org/resolve-from cache-miss
134 silly packumentCache corgi:https://registry.npmjs.org/resolve-cwd cache-miss
135 silly packumentCache corgi:https://registry.npmjs.org/resolve cache-miss
136 silly packumentCache corgi:https://registry.npmjs.org/requires-port cache-miss
137 silly packumentCache corgi:https://registry.npmjs.org/requireg cache-miss
138 silly packumentCache corgi:https://registry.npmjs.org/require-from-string cache-miss
139 silly packumentCache corgi:https://registry.npmjs.org/require-directory cache-miss
140 silly packumentCache corgi:https://registry.npmjs.org/regjsgen cache-miss
141 silly packumentCache corgi:https://registry.npmjs.org/regjsparser cache-miss
142 silly packumentCache corgi:https://registry.npmjs.org/regenerator-runtime cache-miss
143 silly packumentCache corgi:https://registry.npmjs.org/regenerate cache-miss
144 silly packumentCache corgi:https://registry.npmjs.org/regenerate-unicode-properties cache-miss
145 silly packumentCache corgi:https://registry.npmjs.org/redent cache-miss
146 silly packumentCache corgi:https://registry.npmjs.org/react-test-renderer cache-miss
147 silly packumentCache corgi:https://registry.npmjs.org/react-refresh cache-miss
148 silly packumentCache corgi:https://registry.npmjs.org/react-native-is-edge-to-edge cache-miss
149 silly packumentCache corgi:https://registry.npmjs.org/regexpu-core cache-miss
150 silly packumentCache corgi:https://registry.npmjs.org/react-native-web cache-miss
151 silly packumentCache corgi:https://registry.npmjs.org/react-is cache-miss
152 silly packumentCache corgi:https://registry.npmjs.org/react-native cache-miss
153 http cache react@https://registry.npmjs.org/react/-/react-19.2.4.tgz 1ms (cache hit)
154 silly packumentCache corgi:https://registry.npmjs.org/react-devtools-core cache-miss
155 silly packumentCache corgi:https://registry.npmjs.org/rc cache-miss
156 silly packumentCache corgi:https://registry.npmjs.org/queue cache-miss
157 silly packumentCache corgi:https://registry.npmjs.org/qrcode-terminal cache-miss
158 silly packumentCache corgi:https://registry.npmjs.org/range-parser cache-miss
159 silly packumentCache corgi:https://registry.npmjs.org/pure-rand cache-miss
160 silly packumentCache corgi:https://registry.npmjs.org/psl cache-miss
161 silly packumentCache corgi:https://registry.npmjs.org/punycode cache-miss
162 silly packumentCache corgi:https://registry.npmjs.org/react-dom cache-miss
163 silly packumentCache corgi:https://registry.npmjs.org/querystringify cache-miss
164 silly packumentCache corgi:https://registry.npmjs.org/promise cache-miss
165 silly packumentCache corgi:https://registry.npmjs.org/progress cache-miss
166 silly packumentCache corgi:https://registry.npmjs.org/proc-log cache-miss
167 silly packumentCache corgi:https://registry.npmjs.org/postcss-value-parser cache-miss
168 silly packumentCache corgi:https://registry.npmjs.org/pretty-bytes cache-miss
169 silly packumentCache corgi:https://registry.npmjs.org/prompts cache-miss
170 silly packumentCache corgi:https://registry.npmjs.org/pretty-format cache-miss
171 silly packumentCache corgi:https://registry.npmjs.org/plist cache-miss
172 silly packumentCache corgi:https://registry.npmjs.org/pkg-dir cache-miss
173 silly packumentCache corgi:https://registry.npmjs.org/path-scurry cache-miss
174 silly packumentCache corgi:https://registry.npmjs.org/pngjs cache-miss
175 silly packumentCache corgi:https://registry.npmjs.org/picocolors cache-miss
176 silly packumentCache corgi:https://registry.npmjs.org/path-key cache-miss
177 silly packumentCache corgi:https://registry.npmjs.org/picomatch cache-miss
178 silly packumentCache corgi:https://registry.npmjs.org/path-exists cache-miss
179 silly packumentCache corgi:https://registry.npmjs.org/pirates cache-miss
180 silly packumentCache corgi:https://registry.npmjs.org/path-is-absolute cache-miss
181 silly packumentCache corgi:https://registry.npmjs.org/parseurl cache-miss
182 silly packumentCache corgi:https://registry.npmjs.org/package-json-from-dist cache-miss
183 silly packumentCache corgi:https://registry.npmjs.org/path-parse cache-miss
184 silly packumentCache corgi:https://registry.npmjs.org/p-try cache-miss
185 silly packumentCache corgi:https://registry.npmjs.org/p-limit cache-miss
186 silly packumentCache corgi:https://registry.npmjs.org/ora cache-miss
187 silly packumentCache corgi:https://registry.npmjs.org/open cache-miss
188 silly packumentCache corgi:https://registry.npmjs.org/parse-json cache-miss
189 silly packumentCache corgi:https://registry.npmjs.org/parse-png cache-miss
190 silly packumentCache corgi:https://registry.npmjs.org/on-headers cache-miss
191 silly packumentCache corgi:https://registry.npmjs.org/onetime cache-miss
192 silly packumentCache corgi:https://registry.npmjs.org/on-finished cache-miss
193 silly packumentCache corgi:https://registry.npmjs.org/object-assign cache-miss
194 silly packumentCache corgi:https://registry.npmjs.org/once cache-miss
195 silly packumentCache corgi:https://registry.npmjs.org/npm-run-path cache-miss
196 silly packumentCache corgi:https://registry.npmjs.org/nwsapi cache-miss
197 silly packumentCache corgi:https://registry.npmjs.org/ob1 cache-miss
198 silly packumentCache corgi:https://registry.npmjs.org/npm-package-arg cache-miss
199 silly packumentCache corgi:https://registry.npmjs.org/nullthrows cache-miss
200 silly packumentCache corgi:https://registry.npmjs.org/node-int64 cache-miss
201 silly packumentCache corgi:https://registry.npmjs.org/parse5 cache-miss
202 silly packumentCache corgi:https://registry.npmjs.org/node-forge cache-miss
203 silly packumentCache corgi:https://registry.npmjs.org/node-fetch cache-miss
204 silly packumentCache corgi:https://registry.npmjs.org/nested-error-stacks cache-miss
205 silly packumentCache corgi:https://registry.npmjs.org/normalize-path cache-miss
206 silly packumentCache corgi:https://registry.npmjs.org/negotiator cache-miss
207 silly packumentCache corgi:https://registry.npmjs.org/natural-compare cache-miss
208 silly packumentCache corgi:https://registry.npmjs.org/nanoid cache-miss
209 silly packumentCache corgi:https://registry.npmjs.org/mz cache-miss
210 silly packumentCache corgi:https://registry.npmjs.org/ms cache-miss
211 silly packumentCache corgi:https://registry.npmjs.org/neo-async cache-miss
212 silly packumentCache corgi:https://registry.npmjs.org/mkdirp cache-miss
213 silly packumentCache corgi:https://registry.npmjs.org/napi-postinstall cache-miss
214 silly packumentCache corgi:https://registry.npmjs.org/minizlib cache-miss
215 silly packumentCache corgi:https://registry.npmjs.org/minipass cache-miss
216 silly packumentCache corgi:https://registry.npmjs.org/minimatch cache-miss
217 silly packumentCache corgi:https://registry.npmjs.org/minimist cache-miss
218 silly packumentCache corgi:https://registry.npmjs.org/mime-types cache-miss
219 silly packumentCache corgi:https://registry.npmjs.org/node-releases cache-miss
220 silly packumentCache corgi:https://registry.npmjs.org/min-indent cache-miss
221 silly packumentCache corgi:https://registry.npmjs.org/mime cache-miss
222 silly packumentCache corgi:https://registry.npmjs.org/micromatch cache-miss
223 silly packumentCache corgi:https://registry.npmjs.org/metro-transform-plugins cache-miss
224 silly packumentCache corgi:https://registry.npmjs.org/metro-transform-worker cache-miss
225 silly packumentCache corgi:https://registry.npmjs.org/metro-symbolicate cache-miss
226 silly packumentCache corgi:https://registry.npmjs.org/metro-source-map cache-miss
227 silly packumentCache corgi:https://registry.npmjs.org/mime-db cache-miss
228 silly packumentCache corgi:https://registry.npmjs.org/metro-resolver cache-miss
229 silly packumentCache corgi:https://registry.npmjs.org/metro-minify-terser cache-miss
230 silly packumentCache corgi:https://registry.npmjs.org/metro-runtime cache-miss
231 silly packumentCache corgi:https://registry.npmjs.org/metro-core cache-miss
232 silly packumentCache corgi:https://registry.npmjs.org/metro-config cache-miss
233 silly packumentCache corgi:https://registry.npmjs.org/metro-cache-key cache-miss
234 silly packumentCache corgi:https://registry.npmjs.org/metro-babel-transformer cache-miss
235 silly packumentCache corgi:https://registry.npmjs.org/metro-cache cache-miss
236 silly packumentCache corgi:https://registry.npmjs.org/metro cache-miss
237 silly packumentCache corgi:https://registry.npmjs.org/merge-stream cache-miss
238 silly packumentCache corgi:https://registry.npmjs.org/memoize-one cache-miss
239 silly packumentCache corgi:https://registry.npmjs.org/metro-file-map cache-miss
240 silly packumentCache corgi:https://registry.npmjs.org/math-intrinsics cache-miss
241 silly packumentCache corgi:https://registry.npmjs.org/marky cache-miss
242 silly packumentCache corgi:https://registry.npmjs.org/makeerror cache-miss
243 silly packumentCache corgi:https://registry.npmjs.org/make-error cache-miss
244 silly packumentCache corgi:https://registry.npmjs.org/loose-envify cache-miss
245 silly packumentCache corgi:https://registry.npmjs.org/log-symbols cache-miss
246 silly packumentCache corgi:https://registry.npmjs.org/lodash.memoize cache-miss
247 silly packumentCache corgi:https://registry.npmjs.org/lodash.throttle cache-miss
248 silly packumentCache corgi:https://registry.npmjs.org/lodash.debounce cache-miss
249 silly packumentCache corgi:https://registry.npmjs.org/lru-cache cache-miss
250 silly packumentCache corgi:https://registry.npmjs.org/lodash cache-miss
251 silly packumentCache corgi:https://registry.npmjs.org/lines-and-columns cache-miss
252 silly packumentCache corgi:https://registry.npmjs.org/lightningcss cache-miss
253 silly packumentCache corgi:https://registry.npmjs.org/lighthouse-logger cache-miss
254 silly packumentCache corgi:https://registry.npmjs.org/leven cache-miss
255 silly packumentCache corgi:https://registry.npmjs.org/lan-network cache-miss
256 silly packumentCache corgi:https://registry.npmjs.org/lightningcss-darwin-arm64 cache-miss
257 silly packumentCache corgi:https://registry.npmjs.org/kleur cache-miss
258 silly packumentCache corgi:https://registry.npmjs.org/mimic-fn cache-miss
259 silly packumentCache corgi:https://registry.npmjs.org/jsesc cache-miss
260 silly packumentCache corgi:https://registry.npmjs.org/jsdom cache-miss
261 silly packumentCache corgi:https://registry.npmjs.org/jsc-safe-url cache-miss
262 silly packumentCache corgi:https://registry.npmjs.org/js-yaml cache-miss
263 silly packumentCache corgi:https://registry.npmjs.org/js-tokens cache-miss
264 silly packumentCache corgi:https://registry.npmjs.org/jimp-compact cache-miss
265 silly packumentCache corgi:https://registry.npmjs.org/jest-watcher cache-miss
266 silly packumentCache corgi:https://registry.npmjs.org/jest-watch-typeahead cache-miss
267 silly packumentCache corgi:https://registry.npmjs.org/jest-watch-select-projects cache-miss
268 silly packumentCache corgi:https://registry.npmjs.org/jest-validate cache-miss
269 silly packumentCache corgi:https://registry.npmjs.org/jest-util cache-miss
270 silly packumentCache corgi:https://registry.npmjs.org/jest-snapshot cache-miss
271 silly packumentCache corgi:https://registry.npmjs.org/jest-runner cache-miss
272 silly packumentCache corgi:https://registry.npmjs.org/jest-resolve-dependencies cache-miss
273 silly packumentCache corgi:https://registry.npmjs.org/jest-resolve cache-miss
274 silly packumentCache corgi:https://registry.npmjs.org/jest-pnp-resolver cache-miss
275 silly packumentCache corgi:https://registry.npmjs.org/jest-runtime cache-miss
276 silly packumentCache corgi:https://registry.npmjs.org/jest-mock cache-miss
277 silly packumentCache corgi:https://registry.npmjs.org/jest-message-util cache-miss
278 silly packumentCache corgi:https://registry.npmjs.org/jest-leak-detector cache-miss
279 silly packumentCache corgi:https://registry.npmjs.org/jest-matcher-utils cache-miss
280 silly packumentCache corgi:https://registry.npmjs.org/jest-regex-util cache-miss
281 silly packumentCache corgi:https://registry.npmjs.org/jest-haste-map cache-miss
282 silly packumentCache corgi:https://registry.npmjs.org/jest-get-type cache-miss
283 silly packumentCache corgi:https://registry.npmjs.org/json-parse-even-better-errors cache-miss
284 silly packumentCache corgi:https://registry.npmjs.org/jest-environment-jsdom cache-miss
285 silly packumentCache corgi:https://registry.npmjs.org/jest-expo cache-miss
286 silly packumentCache corgi:https://registry.npmjs.org/jest-docblock cache-miss
287 silly packumentCache corgi:https://registry.npmjs.org/json5 cache-miss
288 silly packumentCache corgi:https://registry.npmjs.org/jest-each cache-miss
289 silly packumentCache corgi:https://registry.npmjs.org/jest-environment-node cache-miss
290 silly packumentCache corgi:https://registry.npmjs.org/jest-diff cache-miss
291 silly packumentCache corgi:https://registry.npmjs.org/jest-config cache-miss
292 silly packumentCache corgi:https://registry.npmjs.org/jest-changed-files cache-miss
293 silly packumentCache corgi:https://registry.npmjs.org/jest-cli cache-miss
294 silly packumentCache corgi:https://registry.npmjs.org/jackspeak cache-miss
295 silly packumentCache corgi:https://registry.npmjs.org/jest cache-miss
296 silly packumentCache corgi:https://registry.npmjs.org/istanbul-reports cache-miss
297 silly packumentCache corgi:https://registry.npmjs.org/istanbul-lib-instrument cache-miss
298 silly packumentCache corgi:https://registry.npmjs.org/istanbul-lib-report cache-miss
299 silly packumentCache corgi:https://registry.npmjs.org/istanbul-lib-source-maps cache-miss
300 silly packumentCache corgi:https://registry.npmjs.org/isexe cache-miss
301 silly packumentCache corgi:https://registry.npmjs.org/jest-circus cache-miss
302 silly packumentCache corgi:https://registry.npmjs.org/is-potential-custom-element-name cache-miss
303 silly packumentCache corgi:https://registry.npmjs.org/is-stream cache-miss
304 silly packumentCache corgi:https://registry.npmjs.org/is-number cache-miss
305 silly packumentCache corgi:https://registry.npmjs.org/is-generator-fn cache-miss
306 silly packumentCache corgi:https://registry.npmjs.org/is-docker cache-miss
307 silly packumentCache corgi:https://registry.npmjs.org/istanbul-lib-coverage cache-miss
308 silly packumentCache corgi:https://registry.npmjs.org/is-wsl cache-miss
309 silly packumentCache corgi:https://registry.npmjs.org/is-core-module cache-miss
310 silly packumentCache corgi:https://registry.npmjs.org/is-fullwidth-code-point cache-miss
311 silly packumentCache corgi:https://registry.npmjs.org/is-arrayish cache-miss
312 silly packumentCache corgi:https://registry.npmjs.org/inline-style-prefixer cache-miss
313 silly packumentCache corgi:https://registry.npmjs.org/inherits cache-miss
314 silly packumentCache corgi:https://registry.npmjs.org/inflight cache-miss
315 silly packumentCache corgi:https://registry.npmjs.org/indent-string cache-miss
316 silly packumentCache corgi:https://registry.npmjs.org/ini cache-miss
317 silly packumentCache corgi:https://registry.npmjs.org/invariant cache-miss
318 silly packumentCache corgi:https://registry.npmjs.org/imurmurhash cache-miss
319 silly packumentCache corgi:https://registry.npmjs.org/import-local cache-miss
320 silly packumentCache corgi:https://registry.npmjs.org/ignore cache-miss
321 silly packumentCache corgi:https://registry.npmjs.org/ieee754 cache-miss
322 silly packumentCache corgi:https://registry.npmjs.org/iconv-lite cache-miss
323 silly packumentCache corgi:https://registry.npmjs.org/https-proxy-agent cache-miss
324 silly packumentCache corgi:https://registry.npmjs.org/hyphenate-style-name cache-miss
325 silly packumentCache corgi:https://registry.npmjs.org/http-proxy-agent cache-miss
326 silly packumentCache corgi:https://registry.npmjs.org/human-signals cache-miss
327 silly packumentCache corgi:https://registry.npmjs.org/html-escaper cache-miss
328 silly packumentCache corgi:https://registry.npmjs.org/image-size cache-miss
329 silly packumentCache corgi:https://registry.npmjs.org/html-encoding-sniffer cache-miss
330 silly packumentCache corgi:https://registry.npmjs.org/hermes-parser cache-miss
331 silly packumentCache corgi:https://registry.npmjs.org/http-errors cache-miss
332 silly packumentCache corgi:https://registry.npmjs.org/hermes-estree cache-miss
333 silly packumentCache corgi:https://registry.npmjs.org/hasown cache-miss
334 silly packumentCache corgi:https://registry.npmjs.org/has-tostringtag cache-miss
335 silly packumentCache corgi:https://registry.npmjs.org/has-symbols cache-miss
336 silly packumentCache corgi:https://registry.npmjs.org/has-flag cache-miss
337 silly packumentCache corgi:https://registry.npmjs.org/graceful-fs cache-miss
338 silly packumentCache corgi:https://registry.npmjs.org/hosted-git-info cache-miss
339 silly packumentCache corgi:https://registry.npmjs.org/global-dirs cache-miss
340 silly packumentCache corgi:https://registry.npmjs.org/gopd cache-miss
341 silly packumentCache corgi:https://registry.npmjs.org/glob cache-miss
342 silly packumentCache corgi:https://registry.npmjs.org/get-stream cache-miss
343 silly packumentCache corgi:https://registry.npmjs.org/get-proto cache-miss
344 silly packumentCache corgi:https://registry.npmjs.org/get-package-type cache-miss
345 silly packumentCache corgi:https://registry.npmjs.org/get-caller-file cache-miss
346 silly packumentCache corgi:https://registry.npmjs.org/get-intrinsic cache-miss
347 silly packumentCache corgi:https://registry.npmjs.org/gensync cache-miss
348 silly packumentCache corgi:https://registry.npmjs.org/function-bind cache-miss
349 silly packumentCache corgi:https://registry.npmjs.org/fresh cache-miss
350 silly packumentCache corgi:https://registry.npmjs.org/handlebars cache-miss
351 silly packumentCache corgi:https://registry.npmjs.org/fs.realpath cache-miss
352 http cache fsevents@https://registry.npmjs.org/fsevents/-/fsevents-2.3.3.tgz 0ms (cache hit)
353 silly packumentCache corgi:https://registry.npmjs.org/freeport-async cache-miss
354 silly packumentCache corgi:https://registry.npmjs.org/flow-enums-runtime cache-miss
355 silly packumentCache corgi:https://registry.npmjs.org/fontfaceobserver cache-miss
356 silly packumentCache corgi:https://registry.npmjs.org/foreground-child cache-miss
357 silly packumentCache corgi:https://registry.npmjs.org/form-data cache-miss
358 silly packumentCache corgi:https://registry.npmjs.org/fill-range cache-miss
359 silly packumentCache corgi:https://registry.npmjs.org/fdir cache-miss
360 silly packumentCache corgi:https://registry.npmjs.org/fbjs cache-miss
361 silly packumentCache corgi:https://registry.npmjs.org/fb-watchman cache-miss
362 silly packumentCache corgi:https://registry.npmjs.org/finalhandler cache-miss
363 silly packumentCache corgi:https://registry.npmjs.org/fast-json-stable-stringify cache-miss
364 silly packumentCache corgi:https://registry.npmjs.org/fbjs-css-vars cache-miss
365 silly packumentCache corgi:https://registry.npmjs.org/exponential-backoff cache-miss
366 silly packumentCache corgi:https://registry.npmjs.org/expo-sqlite cache-miss
367 silly packumentCache corgi:https://registry.npmjs.org/expo-server cache-miss
368 silly packumentCache corgi:https://registry.npmjs.org/expo-modules-core cache-miss
369 silly packumentCache corgi:https://registry.npmjs.org/expo-keep-awake cache-miss
370 silly packumentCache corgi:https://registry.npmjs.org/expo-modules-autolinking cache-miss
371 silly packumentCache corgi:https://registry.npmjs.org/expo-font cache-miss
372 silly packumentCache corgi:https://registry.npmjs.org/expo-status-bar cache-miss
373 silly packumentCache corgi:https://registry.npmjs.org/expo-file-system cache-miss
374 silly packumentCache corgi:https://registry.npmjs.org/expo-constants cache-miss
375 silly packumentCache corgi:https://registry.npmjs.org/expo cache-miss
376 silly packumentCache corgi:https://registry.npmjs.org/expo-asset cache-miss
377 silly packumentCache corgi:https://registry.npmjs.org/execa cache-miss
378 silly packumentCache corgi:https://registry.npmjs.org/expect cache-miss
379 silly packumentCache corgi:https://registry.npmjs.org/exec-async cache-miss
380 silly packumentCache corgi:https://registry.npmjs.org/etag cache-miss
381 silly packumentCache corgi:https://registry.npmjs.org/estraverse cache-miss
382 silly packumentCache corgi:https://registry.npmjs.org/exit-x cache-miss
383 silly packumentCache corgi:https://registry.npmjs.org/esprima cache-miss
